tconst,title,genres,averagerating,numvotes,studio,domestic_gross,popularity,release_date,vote_average,vote_count,month,Adventure,Drama,Romance,Action,Crime,Sci-fi,Comedy,Family,Animation,Thriller,Mystery,Horror,Biography,History,Fantasy,Music,War,Sport
tt1996310,Lore,"['Drama', 'History', 'Romance']",7.1,13386,MBox,970000.0,6.129,2013-02-08,6.9,141,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
tt2002718,Machete Kills,"['Action', 'Crime', 'Sci-Fi']",5.6,69968,ORF,8000000.0,10.36,2013-10-11,5.5,1079,10,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
tt2004420,Neighbors,['Comedy'],6.3,266020,Uni.,150200000.0,14.979000000000001,2014-05-09,6.2,4536,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
tt2005151,War Dogs,"['Comedy', 'Crime', 'Drama']",7.1,154029,WB,43000000.0,10.654000000000002,2016-08-19,6.8,2387,8,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
tt2015381,Guardians of the Galaxy,"['Action', 'Adventure', 'Comedy']",8.1,948394,BV,333200000.0,49.606,2014-08-01,7.9,17958,8,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
tt2017038,All Is Lost,"['Action', 'Adventure', 'Drama']",6.9,70888,RAtt.,6300000.0,9.869,2013-10-18,6.6,949,10,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt2023453,Diary of a Wimpy Kid: Dog Days,"['Comedy', 'Family']",6.3,19571,Fox,49000000.0,11.36,2012-08-03,6.2,440,8,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
tt2023690,Sightseers,"['Adventure', 'Comedy', 'Crime']",6.5,24837,IFC,61800.0,6.702999999999999,2013-05-10,6.4,261,5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
tt2024432,Identity Thief,"['Adventure', 'Comedy', 'Crime']",5.7,115624,Uni.,134500000.0,13.552999999999999,2013-02-09,5.8,2230,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
tt2024544,12 Years a Slave,"['Biography', 'Drama', 'History']",8.1,577301,FoxS,56700000.0,16.493,2013-10-30,7.9,6631,10,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
tt2025690,The Finest Hours,"['Action', 'Drama', 'History']",6.8,55981,BV,27600000.0,12.673,2016-01-29,6.4,943,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
tt2034139,The Last Exorcism Part II,"['Drama', 'Horror', 'Thriller']",4.0,15124,CBS,15200000.0,7.561,2013-03-01,4.5,297,3,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
tt2042568,Inside Llewyn Davis,"['Drama', 'Music']",7.5,123759,CBS,13200000.0,10.549000000000001,2013-12-06,7.2,1400,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tt2043933,Night Moves,"['Action', 'Drama', 'Thriller']",6.0,12621,Cdgm.,272000.0,9.533999999999999,2014-05-20,5.7,160,5,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tt2057392,Eye in the Sky,"['Drama', 'Thriller', 'War']",7.3,72301,BST,18700000.0,10.219,2016-03-11,7.1,850,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
tt2058107,The Railway Man,"['Biography', 'Drama', 'Romance']",7.1,34586,Wein.,4400000.0,9.582,2014-04-11,6.9,408,4,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt2070776,Populaire,"['Comedy', 'Romance', 'Sport']",6.9,10746,Wein.,179000.0,7.281000000000001,2013-09-06,6.6,322,9,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
tt2076220,Holy Motors,"['Drama', 'Fantasy']",7.1,36874,IM,641000.0,5.31,2012-10-17,7.0,431,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
tt2083355,The Best Man Holiday,"['Comedy', 'Drama']",6.7,13967,Uni.,70500000.0,8.581,2013-11-15,6.6,145,11,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
tt2084970,The Imitation Game,"['Biography', 'Drama', 'Thriller']",8.0,620834,Wein.,91100000.0,33.078,2014-12-19,8.1,10396,12,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
tt2088003,Big Game,"['Action', 'Adventure', 'Crime']",5.4,28615,EC,24600.0,9.462,2015-06-26,5.4,648,6,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
tt2094766,Assassin's Creed,"['Action', 'Adventure', 'Sci-Fi']",5.8,167110,Fox,54600000.0,14.050999999999998,2016-12-21,5.4,5010,12,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tt2096672,Dumb and Dumber To,"['Adventure', 'Comedy']",5.6,118646,Uni.,86200000.0,15.964,2014-11-14,5.5,1842,11,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
tt2097331,The Family Fang,"['Comedy', 'Drama', 'Mystery']",6.1,6964,SM,263000.0,6.803,2016-04-29,5.8,172,4,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
tt2101441,Spring Breakers,"['Comedy', 'Crime', 'Drama']",5.3,126504,A24,14100000.0,10.690999999999999,2013-03-15,5.0,2495,3,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
tt2103281,Dawn of the Planet of the Apes,"['Action', 'Adventure', 'Drama']",7.6,390199,Fox,208500000.0,27.641,2014-07-11,7.3,7080,7,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt2109184,Paranormal Activity 4,"['Horror', 'Mystery', 'Thriller']",4.6,58408,Par.,53900000.0,8.965,2012-10-19,5.4,1026,10,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
tt2109248,Transformers: Age of Extinction,"['Action', 'Adventure', 'Sci-Fi']",5.7,283486,Par.,245400000.0,20.961,2014-06-27,5.8,4805,6,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tt2112124,Chennai Express,"['Action', 'Comedy']",6.1,44841,UTV,5300000.0,7.773,2013-08-08,6.4,150,8,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
tt2119532,Hacksaw Ridge,"['Biography', 'Drama', 'History']",8.1,366904,LGF,67200000.0,24.074,2016-11-04,8.1,6608,11,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
tt2126355,San Andreas,"['Action', 'Adventure', 'Drama']",6.1,192750,WB (NL),155200000.0,27.414,2015-05-29,6.1,5125,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt2140373,Saving Mr. Banks,"['Biography', 'Comedy', 'Drama']",7.5,140678,BV,83300000.0,9.585,2013-12-20,7.4,2050,12,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
tt2140479,The Accountant,"['Action', 'Crime', 'Drama']",7.3,233022,WB,86300000.0,13.81,2016-10-14,6.9,3407,10,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
tt2140619,Two Night Stand,"['Comedy', 'Romance']",6.4,60510,EOne,18600.0,9.191,2014-09-26,6.5,1241,9,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
tt2166214,Khiladi 786,"['Action', 'Comedy']",4.4,5648,Eros,379000.0,1.824,2012-12-07,4.7,16,12,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
tt2170439,Horrible Bosses 2,"['Comedy', 'Crime']",6.3,144442,WB,54400000.0,18.421,2014-11-26,6.2,2581,11,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
tt2172934,3 Days to Kill,"['Action', 'Drama', 'Thriller']",6.2,81681,Rela.,30700000.0,11.011,2014-02-14,6.1,1279,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tt2179136,American Sniper,"['Action', 'Biography', 'Drama']",7.3,401915,WB,350100000.0,18.473,2014-12-25,7.4,7658,12,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt2181931,English Vinglish,"['Comedy', 'Drama', 'Family']",7.9,30323,Eros,1900000.0,5.835,2013-02-14,7.5,111,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
tt2181948,Red,['Thriller'],5.8,9,Sum.,90400000.0,0.6,2014-01-01,5.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tt2191701,Grown Ups 2,['Comedy'],5.4,128500,Sony,133699999.0,11.289000000000001,2013-07-12,5.9,2090,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
tt2193215,The Counselor,"['Crime', 'Drama', 'Thriller']",5.3,92096,Fox,17000000.0,10.55,2013-10-25,5.1,1072,10,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
tt2194499,About Time,"['Comedy', 'Drama', 'Fantasy']",7.8,263136,Uni.,15300000.0,14.133,2013-11-08,7.9,3981,11,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
tt2199571,Run All Night,"['Action', 'Drama', 'Thriller']",6.6,94131,WB,26500000.0,17.592,2015-03-13,6.4,1684,3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tt2202408,Transcendence,['Drama'],6.1,22,WB,23000000.0,0.6,2012-06-09,5.5,2,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt2203939,The Other Woman,"['Comedy', 'Romance']",6.0,122889,IFC,25400.0,9.15,2011-02-04,6.2,220,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
tt2229499,Don Jon,"['Comedy', 'Drama', 'Romance']",6.6,216350,Rela.,24500000.0,12.78,2013-09-27,5.9,2709,9,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
tt2238050,White Bird in a Blizzard,"['Drama', 'Mystery', 'Thriller']",6.4,25376,Magn.,33800.0,7.852,2014-09-25,6.2,485,9,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
tt2243537,A Haunted House,"['Comedy', 'Fantasy']",5.1,40308,ORF,40000000.0,6.909,2013-01-11,5.5,871,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
tt2244901,I Give It a Year,"['Comedy', 'Romance']",5.7,34091,Magn.,34700.0,7.721,2013-02-10,5.4,489,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
tt2245084,Big Hero 6,"['Action', 'Adventure', 'Animation']",7.8,371204,BV,222500000.0,36.92,2014-11-07,7.8,10176,11,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
tt2250564,In Bloom,"['Drama', 'Romance', 'Thriller']",5.8,857,BWP,56100.0,2.436,2013-07-13,6.9,12,7,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tt2267968,Kung Fu Panda 3,"['Action', 'Adventure', 'Animation']",7.1,116166,Fox,143500000.0,16.248,2016-01-29,6.7,2944,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
tt2267998,Gone Girl,"['Drama', 'Mystery', 'Thriller']",8.1,761592,Fox,167800000.0,31.215,2014-10-03,7.9,10459,10,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
tt2278388,The Grand Budapest Hotel,"['Adventure', 'Comedy', 'Crime']",8.1,633604,FoxS,59300000.0,18.31,2014-03-07,8.0,8091,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
tt2279373,The SpongeBob Movie: Sponge Out of Water,"['Adventure', 'Animation', 'Comedy']",6.0,43560,Par.,163000000.0,13.815,2015-02-06,5.7,1165,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
tt2290739,The Devil's Hand,"['Horror', 'Thriller']",5.0,3339,RAtt.,5700.0,4.862,2014-10-10,5.1,65,10,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
tt2294449,22 Jump Street,"['Action', 'Comedy', 'Crime']",7.0,319504,Sony,191700000.0,11.175999999999998,2014-06-13,6.9,5167,6,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
